,County_Code,District_Code,School_Code,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
101,1.0,61192.0,138339.0,NOT_economic_disadv,16.3333333333,34.0,46.7,30.8666666667,22.4333333333,20.0,34.0,56.3666666667,19.9333333333,23.7,325.866666667,32.4,103.0
102,1.0,61200.0,1.0,All,,1.0,,,,,1.0,,,,,1.0,7.0
103,1.0,61200.0,1.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,7.0
104,1.0,61200.0,107839.0,All,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.4,90.0,
105,1.0,61200.0,107839.0,Economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.4,11.0,
106,1.0,61200.0,107839.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.5,79.0,
107,1.0,61200.0,130393.0,All,0.0,4.66666666667,0.0,0.0,0.0,0.0,4.66666666667,0.0,0.0,0.0,351.766666667,21.6666666667,44.5
108,1.0,61200.0,130393.0,Economic_disadv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,6.5
109,1.0,61200.0,130393.0,NOT_economic_disadv,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,361.733333333,18.0,38.0
110,1.0,61200.0,133397.0,All,404.333333333,512.333333333,78.8666666667,13.4666666667,7.66666666667,367.0,512.333333333,71.5666666667,15.0,13.4333333333,375.325,218.833333333,723.5
111,1.0,61200.0,133397.0,Economic_disadv,58.0,97.0,59.8,23.1666666667,17.0333333333,51.3333333333,97.0,52.9666666667,22.0666666667,24.9666666667,358.666666667,57.75,111.0
112,1.0,61200.0,133397.0,NOT_economic_disadv,342.0,409.333333333,83.4,11.1666666667,5.43333333333,311.0,409.333333333,75.8666666667,13.4666666667,10.6666666667,411.466666667,213.8,599.0
113,1.0,61200.0,134536.0,All,349.666666667,461.666666667,75.7333333333,14.5,9.76666666667,297.333333333,461.666666667,64.4,19.9,15.7,376.866666667,326.25,678.666666667
114,1.0,61200.0,134536.0,Economic_disadv,76.6666666667,122.0,63.1333333333,23.3,13.5666666667,61.0,122.0,50.3,24.7333333333,24.9666666667,334.733333333,105.666666667,148.5
115,1.0,61200.0,134536.0,NOT_economic_disadv,269.0,334.666666667,80.3,11.3666666667,8.33333333333,234.0,334.666666667,70.0,17.8666666667,12.1333333333,390.433333333,247.0,515.0
116,1.0,61200.0,6001341.0,All,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.4,188.0,
117,1.0,61200.0,6001341.0,Economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.9,30.0,
118,1.0,61200.0,6001341.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.4,158.0,
119,1.0,61234.0,130054.0,All,304.0,438.666666667,69.2666666667,16.3333333333,14.4,269.0,438.666666667,61.3,19.0666666667,19.6333333333,319.833333333,224.166666667,681.5
120,1.0,61234.0,130054.0,Economic_disadv,136.0,218.333333333,62.2666666667,20.4333333333,17.3,123.666666667,218.333333333,56.5666666667,19.9,23.5333333333,324.675,107.5,336.0
121,1.0,61234.0,130054.0,NOT_economic_disadv,162.0,211.0,76.9,11.7666666667,11.3333333333,138.666666667,211.0,65.9333333333,18.3666666667,15.7,366.333333333,139.4,345.5
122,1.0,61234.0,130484.0,All,,2.0,,,,,2.0,,,,319.8,10.6666666667,14.0
123,1.0,61234.0,130484.0,Economic_disadv,,2.0,,,,,2.0,,,,329.7,7.33333333333,10.0
124,1.0,61234.0,130484.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.5,4.0
